time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446600000	17.693	5.72036	4.80568	0.844724	0.370747	lidar	1.11428	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8412	5.90245	4.73595	0.868974	0.379624	radar	0.699779	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0109	6.10421	4.78376	0.889505	0.381419	lidar	0.937183	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1642	6.30627	4.82571	0.911267	0.383578	radar	0.896594	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2854	6.55299	4.87854	0.954162	0.408859	lidar	1.07222	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4203	6.75954	4.86487	0.978777	0.414461	radar	0.300969	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5626	6.90134	4.78118	0.978495	0.392012	lidar	1.28147	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.713	7.10995	4.87448	0.991587	0.381674	radar	0.784279	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9048	7.25788	4.84179	0.976541	0.345718	lidar	3.62663	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9975	7.44615	4.68737	1.00758	0.365398	radar	3.60922	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0884	7.71963	4.77584	1.05646	0.3979	lidar	1.8355	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2109	7.92425	4.7959	1.07151	0.391395	radar	0.255965	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2892	8.14513	4.78316	1.10402	0.404744	lidar	1.34145	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.389	8.35523	4.81398	1.12166	0.3988	radar	2.16412	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4814	8.50174	4.68676	1.12627	0.382141	lidar	3.15338	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
